Заказ;ДЕТСКОЕ ПИТАНИЕ;ЖЕНСКИЕ ШТУЧКИ;ИГРУШКИ;КАНЦТОВАРЫ, КНИГИ, ДИСКИ;КОСМЕТИКА/ГИГИЕНА;КРУПНОГАБАРИТНЫЙ ТОВАР;ОБУВЬ;ПОДГУЗНИКИ;СОПУТСТВУЮЩИЕ ТОВАРЫ;ТЕКСТИЛЬ, ТРИКОТАЖ;ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;ТОВАРЫ ДЛЯ ЖИВОТНЫХ;ТОВАРЫ ДЛЯ КОРМЛЕНИЯ
1867002781_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002782_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002783_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002784_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002786_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002787_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002788_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002789_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002790_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002791_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002792_TR;0;0;0;0;0;1;0;0;0;1;0;0;0
1867002794_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1868000531_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1868000532_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000533_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000534_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000535_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000536_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000537_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000538_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000541_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000544_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000547_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000548_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000549_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000550_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000551_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000552_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000553_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000554_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000556_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000557_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000558_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000559_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1868000560_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1869000646_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1869000653_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1869000660_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1869000661_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1869000663_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1869000669_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1870001123_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
